# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Water Wheel,AZ,33.9206,-114.5356,US/Mountain,,,,0,,,,stream,,LC,wwlc,305.91
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-27 00:00:00,6876.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-26 00:00:00,7042.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-25 00:00:00,7353.04,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-24 00:00:00,6848.21,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-23 00:00:00,6172,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-22 00:00:00,8101.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-21 00:00:00,7308.88,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-20 00:00:00,7611.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-19 00:00:00,7352.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-18 00:00:00,6855.71,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-17 00:00:00,8110.33,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-16 00:00:00,7180.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-15 00:00:00,7551.17,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-14 00:00:00,7855.54,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-13 00:00:00,7489.96,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-12 00:00:00,7504.92,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-11 00:00:00,7190.08,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-10 00:00:00,7286.83,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-09 00:00:00,6017.29,cubic feet per second
Colorado River at Water Wheel,wwlc,Streamflow,2018-02-08 00:00:00,5479.96,cubic feet per second
