# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Colorado River at Cibola Gage,AZ,33.2322,-114.6817,US/Mountain,,,,0,,,,stream,,LC,clc,214.5
# SERIES DATA #
Site,Site ID,Parameter,Date,Value,Units
Colorado River at Cibola Gage,clc,Streamflow,2018-01-24 00:00:00,6108.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-23 00:00:00,5882.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-22 00:00:00,5817.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-21 00:00:00,4974.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-20 00:00:00,3947.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-19 00:00:00,3877.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-18 00:00:00,4656.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-17 00:00:00,5589.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-16 00:00:00,5409.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-15 00:00:00,5500.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-14 00:00:00,4536.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-13 00:00:00,3016.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-12 00:00:00,3621.67,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-11 00:00:00,3870.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-10 00:00:00,4700.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-09 00:00:00,4735.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-08 00:00:00,4384.62,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-07 00:00:00,4147.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-06 00:00:00,3082,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-05 00:00:00,3610.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-04 00:00:00,4081.96,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-03 00:00:00,4932.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-02 00:00:00,4885.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2018-01-01 00:00:00,4929.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-31 00:00:00,3270.96,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-30 00:00:00,3981.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-29 00:00:00,4211.43,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-28 00:00:00,4965.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-27 00:00:00,5346.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-26 00:00:00,5295.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-25 00:00:00,4970,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-24 00:00:00,2455.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-23 00:00:00,2823.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-22 00:00:00,5108.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-21 00:00:00,4686.38,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-20 00:00:00,3929,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-19 00:00:00,5290.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-18 00:00:00,5287.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-17 00:00:00,5296.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-16 00:00:00,4657.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-15 00:00:00,5113.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-14 00:00:00,5309.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-13 00:00:00,5722.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-12 00:00:00,6329.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-11 00:00:00,6537.46,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-10 00:00:00,7235.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-09 00:00:00,6521.46,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-08 00:00:00,5379.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-07 00:00:00,5495.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-06 00:00:00,5559.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-05 00:00:00,6205.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-04 00:00:00,5957.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-03 00:00:00,6243,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-02 00:00:00,5077.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-12-01 00:00:00,5382.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-30 00:00:00,5829.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-29 00:00:00,5495.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-28 00:00:00,5363.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-27 00:00:00,5758.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-26 00:00:00,5874.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-25 00:00:00,5750,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-24 00:00:00,5880.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-23 00:00:00,5043.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-22 00:00:00,4410.25,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-21 00:00:00,5809.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-20 00:00:00,6306.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-19 00:00:00,6258.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-18 00:00:00,4529.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-17 00:00:00,6036.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-16 00:00:00,5544.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-15 00:00:00,5279,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-14 00:00:00,6480.38,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-13 00:00:00,6903.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-12 00:00:00,7323.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-11 00:00:00,6232.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-10 00:00:00,6686.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-09 00:00:00,6489.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-08 00:00:00,7076.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-07 00:00:00,7050.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-06 00:00:00,7973.5,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-05 00:00:00,6920.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-04 00:00:00,5467.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-03 00:00:00,5391.92,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-02 00:00:00,6780.88,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-11-01 00:00:00,7033.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-31 00:00:00,7799.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-30 00:00:00,7338.54,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-29 00:00:00,7055.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-28 00:00:00,5606.79,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-27 00:00:00,7140.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-26 00:00:00,8003.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-25 00:00:00,7073.57,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-24 00:00:00,7580.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-23 00:00:00,7598.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-22 00:00:00,7615.17,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-21 00:00:00,6187.12,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-20 00:00:00,6529.67,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-19 00:00:00,6900.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-18 00:00:00,7117.87,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-17 00:00:00,7423.42,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-16 00:00:00,7539.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-15 00:00:00,7565.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-14 00:00:00,6001.71,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-13 00:00:00,6516.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-12 00:00:00,7491.38,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-11 00:00:00,7822.29,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-10 00:00:00,8203.83,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-09 00:00:00,8412.04,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-08 00:00:00,7676.58,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-07 00:00:00,5656.75,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-06 00:00:00,6241.08,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-05 00:00:00,7516.33,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-04 00:00:00,7308.21,cubic feet per second
Colorado River at Cibola Gage,clc,Streamflow,2017-10-03 00:00:00,7695.08,cubic feet per second
